category,title,company,location,salary_min,salary_max,salary_mid,days_ago,detail_url,description
IT and Network Industry,Graphic Designer - Mabima,private poster,Gampaha,,,,6.0,https://ikman.lk/en/ad/graphic-designer-mabima-gampaha-1,"We are HIRING
Looking for an energetic, young candidate for theabove below position with the following attribute
GRAPHIC DESIGNER Required Skills Adobe Photoshop, Illustrator, Coreldraw. Required Skills CAD Drawing & 3D Max Softwares. Skill in English & Sinhala (Typing) Minimum 2 years experience in Advertising Field. Positive Attitude with Strong Communication Skills. Age Between 20-35 Years.
Priority will be given for applicants who are in around 5 KMs Out of Colombo we are providing Accommodation,Food & meals.
Email manager.brandwave@gmail.com
No. 74/A, Mabima Road, Heiyanthuduwa.
++ Call /"
IT and Network Industry,Computer Hardware Technician,Vishwadinu Group,Kalutara,35000.0,50000.0,42500.0,6.0,https://ikman.lk/en/ad/computer-hardware-technician-kalutara-17,"WE ARE HIRING / POSITION Computer Hardware Technician / . RESPONSIBILITIES Assembling, repairing, and troubleshooting desktop/laptop computers ( ).
Software, OS installation, and Basic Networking ( ). REQUIREMENTS Age between 20 - 28 years ( 20 28 ).
Experience in Computer Hardware ( ).
NVQ level certification in Electrical/Hardware will be an added advantage ( NVQ ).
Ability to work independently and as a team ( ). BENEFITS Attractive Salary Package based on experience ( ).
Friendly working environment. HOW TO APPLY , (CV) WhatsApp . Email .
Whatsapp Email info@vishwadinu.lk"
IT and Network Industry,Graphic Designer,Golden Ray Touch,Kalutara,40000.0,60000.0,50000.0,6.0,https://ikman.lk/en/ad/graphic-designer-kalutara-207,"Graphic Designer Vacancy (Full-Time) Location Kalutara -Nagoda Software Photoshop
Job Role HDR Blending & Photo Editing
Requirements Basic Photoshop knowledge
No experience required (Training provided)
Male / Female
Creative mindset
Positive attitude and willingness to learn
Working Hours 6 Days per Week
8 00 AM 5 00 PM
Overtime during busy periods
Benefits Starting Salary Rs. 40,000
Overtime Pay
Annual Salary Increments
Full-Time Employment
How to Apply Please send your CV before calling. 070 222 7074"
IT and Network Industry,PHP Developer (Remote / Online),STARPOSLANKA (PVT) LTD,Kurunegala,50000.0,100000.0,75000.0,7.0,https://ikman.lk/en/ad/php-developer-wanted-remote-online-kurunegala,"PHP Developer (Remote) Hiring Now Company STARPOSLANKA (PVT) LTD Location Remote / Work From Home Salary Rs. 50,000/ per month Requirements PHP MySQL Laravel Framework HTML, CSS, JavaScript Bootstrap AI Tools (ChatGPT, Cursor, GitHub Copilot, Claude ) Development Git Debugging Responsibilities
PHP Web Applications Existing Projects Bug Fixes Feature Development
AI Tools Coding Productivity Team Projects Apply Now CV, Portfolio, Projects . Salary Rs. 50,000/ per month (Performance Experience .)"
IT and Network Industry,Graphic Designer - Homagama,private poster,Colombo,,,,7.0,https://ikman.lk/en/ad/graphic-designer-homagama-colombo-10,"A leading polythene manufacturing company in the country is seeking to recruit a Graphic Designer immediately. ( Female / Male)
Qualifications Strong proficiency in CorelDRAW, Illustrator, and Photoshop(with certificates from a recognized institution ) Age Between 2030 years Education Passed G.C.E. Advanced Level (A/L)
+++ For further details, please call on weekdays between 8 00 a.m. and 4 00 p.m."
IT and Network Industry,Network Systems Engineer - Malabe,Digitech Holdings Private Limited,Colombo,,,,8.0,https://ikman.lk/en/ad/network-systems-engineer-malabe-colombo,"WE ARE HIRING
Systems & Network Engineer
Digitech Holdings (Pvt) Ltd is seeking a dynamic, motivated, and technically competent Systems & Network Engineer to join our growing team at our Head Office in Malabe.
Key Responsibilities - Design, implement, monitor, and maintain enterprise network infrastructure.
- Manage and support Windows and Linux servers.
- Configure and maintain routers, switches, firewalls, VPNs, and wireless networks.
- Ensure network security, system reliability, and business continuity.
- Troubleshoot hardware, software, server, and network-related issues.
- Manage backups, disaster recovery procedures, and data protection measures.
- Monitor system performance and recommend infrastructure improvements.
- Provide technical support to users and coordinate with vendors when required.
- Maintain IT documentation, policies, and operational procedures.
Requirements - Bachelor s Degree or Higher Diploma in Information Technology, Computer Science, Network Engineering, or a related field.
- Minimum 25 years of experience in Systems and Network Administration.
- Sound knowledge of Windows Server, Active Directory, Microsoft 365, and virtualization technologies.
- Experience with network devices, firewalls, VPNs, and cybersecurity best practices.
- Familiarity with cloud platforms such as Microsoft Azure or AWS will be an added advantage.
- Professional certifications such as CCNA, CCNP, MCSA, Microsoft Certified, CompTIA Network+, or equivalent will be advantageous.
- Strong troubleshooting and analytical skills.
- Excellent communication and teamwork abilities.
What We Offer - Competitive remuneration package.
- Opportunities for professional growth and career advancement.
- Exposure to modern technologies and enterprise systems.
- Friendly and professional working environment.
Location Malabe, Sri Lanka
How to Apply Interested candidates are invited to email their CVs with the subject line Application for Systems & Network Engineer to minuship@gmail.com
and to careers@digitechholdings.lk
Closing Date 22nd July 2026
Digitech Holdings (Pvt) Ltd
Your growth enabler"
IT and Network Industry,WordPress Developer,INCREMENTAL SOFTWARE SOLUTIONS PTY. LTD,Kandy,,,,8.0,https://ikman.lk/en/ad/wordpress-developer-with-ai-knowledge-wanted-kandy,"We are looking for a reliable WordPress developer to help build, update and maintain our websites.
Skills required WordPress and Elementor
Website updates and troubleshooting
Basic SEO and website speed improvement
AI tools such as ChatGPT
HTML and CSS"
IT and Network Industry,Hardware Technician,INFOTECH COMPUTERS PRIVATE LIMITED,Colombo,30000.0,50000.0,40000.0,9.0,https://ikman.lk/en/ad/hardware-technician-colombo-166,"Requirements
NVQ Level 4 qualification or above (or an equivalent qualification from a recognized institute)
Minimum 1 year of experience in computer hardware repair, printer maintenance, or IT technical support
Strong troubleshooting skills in Microsoft Windows operating systems and Intel-based computer hardware
Ability to work independently with minimal supervision
Good communication and customer service skills
Valid riding license will be an added advantage Key Responsibilities
Install, configure, maintain, and repair all types of printers, including Laser, Inkjet, Dot Matrix, and Multifunction Devices (MFDs)
Diagnose and resolve printer hardware and software issues
Perform routine servicing, cleaning, and preventive maintenance of printers
Replace and manage consumables such as toner cartridges, drums, rollers, and maintenance kits
Install, configure, and troubleshoot desktops, laptops, monitors, and other IT hardware
Provide both on-site and remote technical support to customers
Maintain service records and ensure timely resolution of customer issues
Deliver professional customer service while adhering to company standards Job Profile
This is a full-time position responsible for the installation, maintenance, troubleshooting, and repair of printers and IT hardware. The role also includes providing technical support to end users through both on-site visits and remote assistance.
Interested candidates are invited to forward their CVs to careers@itclk.com"
IT and Network Industry,Female Graphic Designer,Opel Arts,Colombo,55000.0,70000.0,62500.0,11.0,https://ikman.lk/en/ad/female-graphoc-designers-colombo,We are lookimg for a wel experinced female graphic designers
IT and Network Industry,Quality Assurance (QA) Engineer,Lakmini International (Pvt) Ltd,Colombo,,,,,https://ikman.lk/en/ad/quality-assurance-qa-engineer-software-testing-specialist-colombo,"Quality Assurance (QA) Engineer Software Testing Specialist Interns with a passion for Software Quality Assurance are also encouraged to apply. This is a great opportunity to gain hands-on industry experience and grow your career. Location Pannipitiya, Colombo Company Lakmini International (Pvt) Ltd Job Type Full-Time
Lakmini International (Pvt) Ltd, a reputed software development and digital solutions company established in 2012, is looking for a detail-oriented and passionate Quality Assurance (QA) Engineer to join our growing team.
We specialize in developing high-quality mobile and web applications. As part of our QA team, you will be responsible for ensuring our software products meet the highest quality standards through comprehensive testing, defect identification, and continuous quality improvement.
Job Responsibilities Plan, design, and execute manual test cases for web and mobile applications Identify, document, and track software defects using bug tracking tools Perform functional, regression, integration, usability, and compatibility testing Collaborate closely with developers, designers, and project managers to resolve issues Verify bug fixes and ensure software meets functional and business requirements Participate in requirement analysis and provide feedback to improve product quality Prepare and maintain test plans, test cases, and testing documentation Ensure software releases are stable and meet quality standards before deployment Report testing progress and provide quality assurance status updates Stay updated with the latest QA methodologies, testing tools, and industry best practices
Requirements Proven experience in software quality assurance or software testing Good understanding of software development life cycle (SDLC) and software testing life cycle (STLC) Experience in manual testing of web and mobile applications Strong analytical and problem-solving skills with excellent attention to detail Ability to identify, reproduce, and clearly document software defects Good communication and teamwork skills Ability to work under deadlines and manage multiple projects
Working Details Working Days Monday to Saturday Working Hours 9.00 AM 5.30 PM Location Pannipitiya, Colombo
Salary & Benefits Attractive salary based on experience and skills Overtime payments available Opportunity to work with a professional software development company Supportive, collaborative, and growth-focused working environment
How to Apply Send your CV to Email info.lakminiinternational@gmail.com Contact Number Join Lakmini International (Pvt) Ltd and become part of a dedicated team committed to delivering reliable, high-quality software solutions."
IT and Network Industry,Computer Hardware Support Technician,Shine Technology Solutions (Pvt) Ltd,Gampaha,30000.0,80000.0,55000.0,12.0,https://ikman.lk/en/ad/printer-and-computer-hardware-support-technician-gampaha,"At Shine Technology Solutions (pvt)Ltd, we are a leading provider of innovative technology solutions, specializing in the repair, servicing, and sales of computers, printers, and photocopiers. With a commitment to excellence and customer satisfaction, we strive to deliver high-quality services to our clients. As a growing company, we are looking for dedicated individuals to join our team and contribute to our continued success.
We are hiring for the following roles Marketing Executives and Technical Executives Repairing, Servicing, and Sales of Computers, Printers, and Photocopiers Applicants with or without prior experience are welcome to apply. An attractive and Competitive salary, including payment during the training period.
Shine Technology Solutions (Pvt) Ltd
No 4C/1/2, Sapugaskanda, Makola, info@shinetech.lk"
IT and Network Industry,Printer IT Support Technician,INFOTECH COMPUTERS PRIVATE LIMITED,Colombo,30000.0,50000.0,40000.0,12.0,https://ikman.lk/en/ad/printer-it-support-technician-colombo,"Requirements NVQ Level 4 qualification or above (or an equivalent qualification from a recognized institute) Minimum 1 year of experience in computer hardware repair, printer maintenance, or IT technical support Strong troubleshooting skills in Microsoft Windows operating systems and Intel-based computer hardware Ability to work independently with minimal supervision Good communication and customer service skills A valid riding license will be an added advantage
Key Responsibilities Install, configure, maintain, and repair all types of printers, including Laser, Inkjet, Dot Matrix, and Multifunction Devices (MFDs) Diagnose and resolve printer hardware and software issues Perform routine servicing, cleaning, and preventive maintenance of printers Replace and manage consumables such as toner cartridges, drums, rollers, and maintenance kits Install, configure, and troubleshoot desktops, laptops, monitors, and other IT hardware Provide both on-site and remote technical support to customers Maintain accurate service records and ensure timely resolution of customer issues Deliver professional customer service while adhering to company standards
Job Profile
This full-time position is responsible for the installation, maintenance, troubleshooting, and repair of printers and IT hardware. The successful candidate will also provide technical support to end users through both on-site visits and remote assistance, ensuring a high standard of customer satisfaction and service delivery.
Interested candidates are invited to forward their CVs to careers@itclk.com"
IT and Network Industry,Graphic Designer,Private Poster,Colombo,45000.0,60000.0,52500.0,12.0,https://ikman.lk/en/ad/graphic-designer-colombo-3383,"Graphic Designer Full-Time Opportunity Are you a creative and passionate Graphic Designer looking to grow your career Join our dynamic team and showcase your talent by creating eye-catching designs for both print and digital media. Key Responsibilities Design social media posts, flyers, banners, brochures, and other promotional materials Create engaging marketing and branding content Maintain brand consistency across all designs Edit images and prepare artwork for printing Collaborate with team members on creative projects and campaigns Requirements G.C.E. O/L or A/L qualification Certificate/Diploma in Graphic Design is an added advantage Proficiency in graphic design software Creative mindset with attention to detail Ability to work independently and meet deadlines Salary & Benefits Rs. 45,000 60,000 per month Overtime (OT) Allowance Attractive Incentives Location Colombo 02 Job Type Full-Time Apply Now Email hrassistant889@gmail.com Call / WhatsApp Take the next step in your creative career and become part of a team that values innovation, talent, and professional growth"
IT and Network Industry,Graphic Designers,Softwave,Colombo,,,,14.0,https://ikman.lk/en/ad/graphic-designers-colombo-667,"Immediate Vacancies
A well reputed printing establishment based in Colombo city, requires the following personnel urgently.
Graphic Designers
Salary negotiable"
IT and Network Industry,Web Developer,INCREMENTAL SOFTWARE SOLUTIONS PTY. LTD,Kandy,,,,15.0,https://ikman.lk/en/ad/web-developer-keneku-avshyyi-kandy,"Web Developer Business websites Website errors technical issues fix Mobile-friendly responsive websites Website speed improve Pages, images, forms content update Basic SEO setup Website complete basic support Web development experience WordPress or Laravel, HTML, CSS, JavaScript Responsive website design complete"
IT and Network Industry,Customer Support Technician,INFOTECH COMPUTERS PRIVATE LIMITED,Colombo,30000.0,50000.0,40000.0,15.0,https://ikman.lk/en/ad/customer-support-technician-colombo,"Requirements
NVQ Level 4 qualification or above (or an equivalent qualification from a recognized institute)
Minimum 1 year of experience in computer hardware repair, printer maintenance, or IT technical support
Strong troubleshooting skills in Microsoft Windows operating systems and Intel-based computer hardware
Ability to work independently with minimal supervision
Good communication and customer service skills
Valid riding license will be an added advantage Key Responsibilities
Install, configure, maintain, and repair all types of printers, including Laser, Inkjet, Dot Matrix, and Multifunction Devices (MFDs)
Diagnose and resolve printer hardware and software issues
Perform routine servicing, cleaning, and preventive maintenance of printers
Replace and manage consumables such as toner cartridges, drums, rollers, and maintenance kits
Install, configure, and troubleshoot desktops, laptops, monitors, and other IT hardware
Provide both on-site and remote technical support to customers
Maintain service records and ensure timely resolution of customer issues
Deliver professional customer service while adhering to company standards Job Profile
This is a full-time position responsible for the installation, maintenance, troubleshooting, and repair of printers and IT hardware. The role also includes providing technical support to end users through both on-site visits and remote assistance.
Interested candidates are invited to forward their CVs to careers@itclk.com"
